timestamp,time,solar_kw,load_kw,battery_soc_pct,battery_power_kw,grid_kw,tariff_inr_kwh,cost_inr,renewable_used_kw,curtailed_kw,action,reason
2025-12-31 05:30:00,2025-12-31 05:30:00,0.0,50.811,29.644,-18.0,68.811,2.6,178.909,0.0,0.0,charge,Off-peak tariff; pre-charging BESS for peak-period cost reduction.
2025-12-31 06:30:00,2025-12-31 06:30:00,3.154,57.533,29.644,0.0,54.379,5.6,304.522,3.154,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 07:30:00,2025-12-31 07:30:00,18.289,75.461,29.644,0.0,57.172,5.6,320.163,18.289,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 08:30:00,2025-12-31 08:30:00,38.719,77.69,29.644,0.0,38.971,5.6,218.238,38.719,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 09:30:00,2025-12-31 09:30:00,60.904,88.081,29.644,0.0,27.177,5.6,152.191,60.904,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 10:30:00,2025-12-31 10:30:00,68.561,63.021,32.612,-5.54,0.0,5.6,0.0,68.561,0.0,charge,Solar surplus available; charging BESS without grid import.
2025-12-31 11:30:00,2025-12-31 11:30:00,62.453,66.542,32.612,0.0,4.089,5.6,22.898,62.453,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 12:30:00,2025-12-31 12:30:00,41.228,62.045,32.612,0.0,20.817,5.6,116.575,41.228,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 13:30:00,2025-12-31 13:30:00,40.283,63.121,32.612,0.0,22.838,5.6,127.893,40.283,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 14:30:00,2025-12-31 14:30:00,32.159,63.471,32.612,0.0,31.312,5.6,175.347,32.159,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 15:30:00,2025-12-31 15:30:00,19.602,64.272,32.612,0.0,44.67,5.6,250.152,19.602,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 16:30:00,2025-12-31 16:30:00,8.02,69.367,32.612,0.0,61.347,5.6,343.543,8.02,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 17:30:00,2025-12-31 17:30:00,0.429,71.909,32.612,0.0,71.48,5.6,400.288,0.429,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 18:30:00,2025-12-31 18:30:00,0.0,81.442,20.0,21.892,59.55,9.2,547.858,0.0,0.0,discharge,Peak tariff or high demand; discharging BESS to reduce grid purchase.
2025-12-31 19:30:00,2025-12-31 19:30:00,0.0,88.451,20.0,0.0,88.451,9.2,813.749,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 20:30:00,2025-12-31 20:30:00,0.0,88.088,20.0,0.0,88.088,9.2,810.41,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 21:30:00,2025-12-31 21:30:00,0.0,87.344,20.0,0.0,87.344,9.2,803.565,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 22:30:00,2025-12-31 22:30:00,0.0,73.122,20.0,0.0,73.122,2.6,190.117,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2025-12-31 23:30:00,2025-12-31 23:30:00,0.0,61.483,20.0,0.0,61.483,2.6,159.856,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2026-01-01 00:30:00,2026-01-01 00:30:00,0.0,48.845,20.0,0.0,48.845,2.6,126.997,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2026-01-01 01:30:00,2026-01-01 01:30:00,0.0,39.278,20.0,0.0,39.278,2.6,102.123,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2026-01-01 02:30:00,2026-01-01 02:30:00,0.0,41.636,20.0,0.0,41.636,2.6,108.254,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2026-01-01 03:30:00,2026-01-01 03:30:00,0.0,46.794,20.0,0.0,46.794,2.6,121.664,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
2026-01-01 04:30:00,2026-01-01 04:30:00,0.0,46.417,20.0,0.0,46.417,2.6,120.684,0.0,0.0,idle,Hold battery inside safe band; no economic dispatch needed.
