-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in UTC
Location: Latitude  12.9247   Longitude 79.1343 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 223.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI
2020,1,3,22,0.0,21.67,1.44,100.0,0.0,0.0,0.0
2020,1,3,23,0.0,21.89,1.15,99.0,0.0,0.0,0.0
2020,1,4,0,0.0,22.09,0.85,97.53,0.0,0.0,0.0
2020,1,4,1,36.38,22.76,0.64,95.52,0.0,31.12,86.82
2020,1,4,2,190.93,24.71,0.97,86.36,0.0,119.17,225.2
2020,1,4,3,382.12,26.58,1.44,76.52,0.09,197.04,284.12
2020,1,4,4,552.55,28.17,1.67,69.2,0.03,286.88,421.33
2020,1,4,5,728.67,29.37,1.83,64.46,0.08,211.28,648.88
2020,1,4,6,762.38,30.12,2.05,61.5,0.11,242.98,594.94
2020,1,4,7,737.97,30.45,2.16,59.94,0.12,311.7,469.67
2020,1,4,8,651.38,30.43,2.29,59.59,0.12,237.23,523.95
2020,1,4,9,521.08,30.08,2.55,60.33,0.09,212.16,499.56
2020,1,4,10,328.2,29.2,3.08,64.01,0.06,176.86,359.76
2020,1,4,11,129.9,27.62,3.44,72.59,0.06,77.77,187.85
2020,1,4,12,7.07,25.47,3.45,84.16,0.07,8.6,5.22
2020,1,4,13,0.0,24.44,3.57,89.73,0.14,0.0,0.0
2020,1,4,14,0.0,23.84,3.07,93.31,0.11,0.0,0.0
2020,1,4,15,0.0,23.48,2.6,95.3,0.11,0.0,0.0
2020,1,4,16,0.0,23.18,2.14,96.57,0.12,0.0,0.0
2020,1,4,17,0.0,22.95,2.05,97.29,0.12,0.0,0.0
2020,1,4,18,0.0,22.71,1.98,98.16,0.24,0.0,0.0
2020,1,4,19,0.0,22.55,1.92,98.65,0.31,0.0,0.0
2020,1,4,20,0.0,22.41,1.86,99.06,0.36,0.0,0.0
2020,1,4,21,0.0,22.27,1.77,99.46,0.34,0.0,0.0
2020,1,4,22,0.0,22.11,1.71,99.92,0.29,0.0,0.0
2020,1,4,23,0.0,22.0,1.64,99.96,0.27,0.0,0.0
2020,1,5,0,0.0,21.98,1.59,99.64,0.23,0.0,0.0
2020,1,5,1,24.6,22.76,1.6,96.86,0.25,27.06,18.55
2020,1,5,2,122.35,24.58,2.51,87.43,0.36,89.19,128.4
2020,1,5,3,273.17,26.22,2.91,78.75,1.91,188.15,76.82
2020,1,5,4,394.52,27.6,2.94,72.56,2.1,298.86,137.08
2020,1,5,5,522.17,28.61,2.87,68.22,2.79,325.25,151.9
2020,1,5,6,599.3,29.29,2.96,65.34,2.56,362.5,182.57
2020,1,5,7,632.92,29.71,3.28,63.22,3.04,290.09,297.94
2020,1,5,8,549.38,29.8,3.59,61.95,3.83,271.69,268.02
2020,1,5,9,340.38,29.41,3.92,63.11,2.14,212.58,135.04
2020,1,5,10,232.88,28.29,4.27,68.24,0.75,189.64,114.7
2020,1,5,11,86.07,26.83,4.05,75.99,0.97,74.35,49.09
2020,1,5,12,5.05,25.01,3.23,86.16,0.35,6.64,2.46
2020,1,5,13,0.0,24.15,3.3,90.33,0.34,0.0,0.0
2020,1,5,14,0.0,23.62,3.22,92.71,0.41,0.0,0.0
2020,1,5,15,0.0,23.25,3.04,93.98,0.38,0.0,0.0
2020,1,5,16,0.0,22.96,2.86,94.88,0.45,0.0,0.0
2020,1,5,17,0.0,22.67,2.65,95.46,0.9,0.0,0.0
2020,1,5,18,0.0,22.39,2.45,96.04,1.67,0.0,0.0
2020,1,5,19,0.0,22.12,2.18,96.57,2.17,0.0,0.0
2020,1,5,20,0.0,21.87,2.05,96.92,3.11,0.0,0.0
2020,1,5,21,0.0,21.63,1.89,97.24,3.84,0.0,0.0
2020,1,5,22,0.0,21.46,1.81,97.38,4.29,0.0,0.0
2020,1,5,23,0.0,21.3,1.81,97.55,4.01,0.0,0.0
2020,1,6,0,0.0,21.21,1.8,97.58,3.41,0.0,0.0
2020,1,6,1,28.77,21.98,1.91,95.74,3.0,27.45,31.73
2020,1,6,2,167.73,23.58,2.73,89.6,4.71,107.54,180.78
2020,1,6,3,350.48,25.29,3.52,80.73,4.23,202.97,328.7
2020,1,6,4,413.65,26.79,4.14,72.71,3.68,278.43,134.56
2020,1,6,5,477.95,27.78,4.62,68.4,3.48,214.33,225.33
2020,1,6,6,452.8,28.41,5.06,65.91,6.29,249.75,150.93
2020,1,6,7,423.05,28.66,5.45,64.28,8.19,199.19,183.79
2020,1,6,8,467.0,28.5,5.73,63.98,7.63,233.6,261.02
2020,1,6,9,345.02,27.95,5.85,65.38,5.1,193.48,236.83
2020,1,6,10,215.4,26.9,5.65,69.12,3.69,118.88,180.08
2020,1,6,11,87.93,25.49,4.69,76.12,2.0,55.27,73.98
2020,1,6,12,5.53,23.66,3.04,87.01,2.18,7.53,12.53
2020,1,6,13,0.0,22.82,2.62,91.62,1.7,0.0,0.0
2020,1,6,14,0.0,22.26,2.35,94.28,0.97,0.0,0.0
2020,1,6,15,0.0,21.82,2.12,96.09,1.33,0.0,0.0
2020,1,6,16,0.0,21.47,1.98,97.54,1.44,0.0,0.0
2020,1,6,17,0.0,21.19,1.91,98.31,1.62,0.0,0.0
2020,1,6,18,0.0,21.0,1.89,98.53,1.95,0.0,0.0
2020,1,6,19,0.0,20.82,1.88,98.62,2.39,0.0,0.0
2020,1,6,20,0.0,20.73,1.91,98.6,2.38,0.0,0.0
2020,1,6,21,0.0,20.62,2.01,98.73,2.27,0.0,0.0
2020,1,6,22,0.0,20.59,2.1,98.66,2.22,0.0,0.0
2020,1,6,23,0.0,20.52,2.2,98.62,2.52,0.0,0.0
2020,1,7,0,0.0,20.53,2.25,98.51,3.15,0.0,0.0
2020,1,7,1,30.62,21.6,2.42,96.38,3.57,28.52,42.68
2020,1,7,2,161.82,23.52,3.52,90.64,3.88,110.06,130.88
2020,1,7,3,331.67,25.3,4.41,80.29,0.12,228.7,161.25
2020,1,7,4,531.3,26.92,4.79,70.21,0.1,267.16,274.45
2020,1,7,5,649.83,28.01,4.89,65.0,0.08,272.19,457.52
2020,1,7,6,749.8,28.62,4.95,62.02,0.08,334.71,445.91
2020,1,7,7,751.33,28.81,4.94,60.79,0.03,293.78,488.12
2020,1,7,8,624.2,28.7,4.91,60.97,0.04,175.93,620.07
2020,1,7,9,500.75,28.28,4.9,62.01,0.04,215.3,428.9
2020,1,7,10,321.25,27.5,4.79,64.44,0.02,141.72,481.69
2020,1,7,11,138.62,26.05,4.15,71.27,0.01,72.71,299.84
2020,1,7,12,8.75,23.73,2.77,84.61,0.0,9.89,25.98
2020,1,7,13,0.0,22.62,2.54,90.32,0.0,0.0,0.0
2020,1,7,14,0.0,21.93,2.29,93.66,0.0,0.0,0.0
2020,1,7,15,0.0,21.37,2.15,95.85,0.0,0.0,0.0
2020,1,7,16,0.0,20.88,2.11,98.0,0.0,0.0,0.0
2020,1,7,17,0.0,20.47,2.11,100.0,0.0,0.0,0.0
2020,1,7,18,0.0,20.3,2.16,100.0,0.02,0.0,0.0
2020,1,7,19,0.0,20.33,2.1,100.0,0.04,0.0,0.0
2020,1,7,20,0.0,20.28,2.08,100.0,0.05,0.0,0.0
2020,1,7,21,0.0,20.2,2.02,100.0,0.05,0.0,0.0
2020,1,7,22,0.0,20.14,1.93,100.0,0.05,0.0,0.0
2020,1,7,23,0.0,20.11,1.87,100.0,0.05,0.0,0.0
2020,1,8,0,0.0,20.08,1.82,100.0,0.04,0.0,0.0
2020,1,8,1,36.88,21.07,1.75,96.46,0.03,33.91,35.47
2020,1,8,2,219.38,23.49,2.74,83.83,0.05,146.36,260.66
2020,1,8,3,426.42,25.2,3.34,74.05,0.0,204.91,464.01
2020,1,8,4,551.65,26.46,3.51,67.76,0.0,285.26,338.78
2020,1,8,5,700.15,27.47,3.69,63.25,0.0,242.22,518.48
2020,1,8,6,779.3,28.15,3.86,60.19,0.0,283.29,548.59
2020,1,8,7,743.25,28.55,4.01,58.06,0.0,321.18,455.98
2020,1,8,8,665.2,28.56,4.15,57.05,0.0,280.74,516.8
2020,1,8,9,515.35,28.18,4.22,57.98,0.0,214.99,474.03
2020,1,8,10,329.33,27.33,4.15,60.64,0.0,179.51,356.43
2020,1,8,11,135.77,25.78,3.73,67.87,0.0,90.72,176.76
2020,1,8,12,8.73,23.05,2.99,82.13,0.0,10.58,9.2
2020,1,8,13,0.0,21.92,3.42,86.61,0.0,0.0,0.0
2020,1,8,14,0.0,21.15,3.22,89.68,0.0,0.0,0.0
2020,1,8,15,0.0,20.43,2.75,92.27,0.0,0.0,0.0
2020,1,8,16,0.0,19.83,2.45,94.0,0.0,0.0,0.0
2020,1,8,17,0.0,19.31,2.27,95.31,0.0,0.0,0.0
2020,1,8,18,0.0,18.85,2.16,96.39,0.0,0.0,0.0
2020,1,8,19,0.0,18.5,1.98,96.86,0.0,0.0,0.0
2020,1,8,20,0.0,18.41,1.7,96.17,0.0,0.0,0.0
2020,1,8,21,0.0,18.52,1.34,94.46,0.0,0.0,0.0
2020,1,8,22,0.0,18.63,0.98,93.03,0.0,0.0,0.0
2020,1,8,23,0.0,18.78,0.71,91.65,0.0,0.0,0.0
2020,1,9,0,0.0,18.49,0.65,92.75,0.0,0.0,0.0
2020,1,9,1,37.2,19.13,0.76,91.83,0.0,35.02,45.56
2020,1,9,2,221.93,21.73,0.86,80.09,0.0,120.39,324.6
2020,1,9,3,442.8,24.37,1.94,67.37,0.0,208.89,439.78
2020,1,9,4,616.53,26.09,2.17,61.36,0.0,228.51,553.36
2020,1,9,5,781.22,27.58,2.25,57.57,0.0,202.53,703.66
2020,1,9,6,819.28,28.7,2.36,55.3,0.0,239.41,676.97
2020,1,9,7,801.25,29.33,2.55,54.43,0.0,286.81,638.01
2020,1,9,8,717.03,29.56,2.81,54.2,0.0,215.82,650.28
2020,1,9,9,567.15,29.31,3.08,54.99,0.0,178.17,627.48
2020,1,9,10,366.75,28.56,3.28,57.5,0.0,189.77,440.99
2020,1,9,11,156.15,26.94,3.08,65.54,0.0,77.53,319.25
2020,1,9,12,9.15,23.81,2.67,80.57,0.0,11.97,17.68
2020,1,9,13,0.0,22.56,2.92,83.84,0.0,0.0,0.0
2020,1,9,14,0.0,21.72,2.78,86.21,0.0,0.0,0.0
2020,1,9,15,0.0,20.99,2.55,88.5,0.0,0.0,0.0
2020,1,9,16,0.0,20.38,2.35,90.2,0.0,0.0,0.0
2020,1,9,17,0.0,19.86,2.2,91.43,0.0,0.0,0.0
2020,1,9,18,0.0,19.44,2.08,92.15,0.0,0.0,0.0
2020,1,9,19,0.0,19.16,1.92,92.17,0.0,0.0,0.0
2020,1,9,20,0.0,18.98,1.76,91.75,0.0,0.0,0.0
2020,1,9,21,0.0,18.81,1.66,91.55,0.0,0.0,0.0
2020,1,9,22,0.0,18.66,1.59,91.62,0.0,0.0,0.0
2020,1,9,23,0.0,18.5,1.56,91.93,0.0,0.0,0.0
2020,1,10,0,0.0,18.23,1.65,93.13,0.0,0.0,0.0
2020,1,10,1,31.48,19.04,1.81,92.18,0.0,33.97,21.06
2020,1,10,2,169.2,21.97,2.95,77.85,0.0,114.05,199.52
2020,1,10,3,347.38,24.26,3.92,68.44,0.0,183.68,330.61
2020,1,10,4,544.1,25.82,4.39,63.58,0.0,351.99,192.55
2020,1,10,5,604.03,26.98,4.75,60.79,0.0,234.08,442.38
2020,1,10,6,761.8,27.74,5.02,59.18,0.0,375.57,311.35
2020,1,10,7,764.05,28.14,5.17,58.2,0.0,332.16,442.94
2020,1,10,8,695.15,28.03,5.24,58.45,0.0,195.18,912.68
2020,1,10,9,559.0,27.43,5.3,60.22,0.0,218.69,509.94
2020,1,10,10,352.73,26.52,5.25,63.0,0.0,155.21,505.67
2020,1,10,11,154.25,24.99,4.61,69.23,0.0,95.82,274.19
2020,1,10,12,10.38,22.51,3.22,81.29,0.0,13.29,9.49
2020,1,10,13,0.0,21.09,2.89,87.42,0.0,0.0,0.0
2020,1,10,14,0.0,20.22,2.72,90.65,0.0,0.0,0.0
2020,1,10,15,0.0,19.46,2.51,93.33,0.0,0.0,0.0
2020,1,10,16,0.0,18.78,2.36,95.93,0.0,0.0,0.0
2020,1,10,17,0.0,18.23,2.25,98.44,0.0,0.0,0.0
2020,1,10,18,0.0,17.83,2.11,100.0,0.0,0.0,0.0
2020,1,10,19,0.0,17.63,1.91,100.0,0.0,0.0,0.0
2020,1,10,20,0.0,17.58,1.68,100.0,0.0,0.0,0.0
2020,1,10,21,0.0,17.41,1.63,100.0,0.0,0.0,0.0
2020,1,10,22,0.0,17.09,1.84,100.0,0.0,0.0,0.0
2020,1,10,23,0.0,16.82,2.04,100.0,0.0,0.0,0.0
2020,1,11,0,0.0,16.62,2.16,100.0,0.0,0.0,0.0
2020,1,11,1,37.15,17.74,2.1,98.67,0.0,38.83,43.76
2020,1,11,2,225.48,21.04,3.13,81.87,0.0,123.79,369.41
2020,1,11,3,449.55,23.58,4.04,68.64,0.0,210.46,368.58
2020,1,11,4,652.03,25.23,4.43,62.04,0.0,198.37,790.57
2020,1,11,5,707.45,26.54,4.64,57.83,0.0,244.48,616.99
2020,1,11,6,731.97,27.5,4.81,54.94,0.0,341.71,522.63
2020,1,11,7,765.65,27.99,4.87,53.82,0.0,290.05,546.43
2020,1,11,8,700.6,28.03,4.89,54.38,0.0,298.74,424.95
2020,1,11,9,553.17,27.58,4.98,56.69,0.0,209.56,487.68
2020,1,11,10,351.58,26.67,5.04,60.5,0.0,181.15,364.31
2020,1,11,11,144.68,25.17,4.5,67.72,0.0,101.43,164.97
2020,1,11,12,9.95,22.72,3.13,81.5,0.0,12.07,7.14
2020,1,11,13,0.0,21.48,2.97,88.27,0.0,0.0,0.0
2020,1,11,14,0.0,20.77,2.72,92.66,0.0,0.0,0.0
2020,1,11,15,0.0,20.19,2.51,96.22,0.0,0.0,0.0
2020,1,11,16,0.0,19.69,2.37,99.44,0.0,0.0,0.0
2020,1,11,17,0.0,19.33,2.31,100.0,0.0,0.0,0.0
2020,1,11,18,0.0,19.17,2.3,100.0,0.0,0.0,0.0
2020,1,11,19,0.0,19.09,2.31,100.0,0.0,0.0,0.0
2020,1,11,20,0.0,18.97,2.31,100.0,0.0,0.0,0.0
2020,1,11,21,0.0,18.97,2.33,100.0,0.0,0.0,0.0
2020,1,11,22,0.0,18.99,2.34,100.0,0.0,0.0,0.0
2020,1,11,23,0.0,18.85,2.33,100.0,0.0,0.0,0.0
2020,1,12,0,0.0,18.67,2.32,100.0,0.0,0.0,0.0
2020,1,12,1,35.08,19.92,2.24,98.56,0.0,34.78,38.78
2020,1,12,2,211.43,22.72,3.25,84.22,0.0,124.23,275.35
2020,1,12,3,412.98,24.69,3.86,72.98,0.02,205.73,359.49
2020,1,12,4,518.05,26.07,4.0,65.74,0.01,242.06,340.31
2020,1,12,5,594.05,27.16,4.13,60.79,0.02,298.64,312.84
2020,1,12,6,610.65,27.89,4.26,57.85,0.01,336.76,96.03
2020,1,12,7,633.35,28.23,4.34,56.93,0.01,344.49,298.87
2020,1,12,8,545.55,28.32,4.41,56.56,0.01,247.8,329.09
2020,1,12,9,419.7,27.9,4.51,57.55,0.01,237.5,225.22
2020,1,12,10,260.9,27.0,4.5,60.75,0.02,174.18,199.53
2020,1,12,11,113.18,25.48,4.03,68.05,0.0,76.77,122.96
2020,1,12,12,8.48,22.96,2.89,82.25,0.01,10.84,2.26
2020,1,12,13,0.0,21.83,2.89,88.11,0.0,0.0,0.0
2020,1,12,14,0.0,21.1,2.6,91.78,0.0,0.0,0.0
2020,1,12,15,0.0,20.47,2.28,94.61,0.0,0.0,0.0
2020,1,12,16,0.0,19.93,2.11,96.67,0.0,0.0,0.0
2020,1,12,17,0.0,19.49,1.97,98.48,0.0,0.0,0.0
2020,1,12,18,0.0,19.29,1.71,98.89,0.0,0.0,0.0
2020,1,12,19,0.0,19.37,1.36,97.49,0.0,0.0,0.0
2020,1,12,20,0.0,19.47,1.07,96.06,0.0,0.0,0.0
2020,1,12,21,0.0,19.39,0.94,95.95,0.0,0.0,0.0
2020,1,12,22,0.0,19.09,1.1,97.06,0.0,0.0,0.0
2020,1,12,23,0.0,18.59,1.38,99.46,0.0,0.0,0.0
2020,1,13,0,0.0,18.0,1.7,100.0,0.0,0.0,0.0
2020,1,13,1,32.85,18.83,1.91,97.93,0.0,34.03,21.24
2020,1,13,2,206.82,21.58,2.69,83.66,0.0,175.24,167.03
2020,1,13,3,370.98,24.11,3.01,70.25,0.0,276.9,208.99
2020,1,13,4,535.22,25.88,2.99,61.7,0.0,226.4,358.47
2020,1,13,5,658.12,27.29,2.91,55.53,0.0,371.36,224.66
2020,1,13,6,742.1,28.32,2.92,50.89,0.0,273.4,475.94
2020,1,13,7,751.65,28.94,3.03,47.5,0.0,368.78,380.58
2020,1,13,8,673.25,29.1,3.19,45.69,0.0,272.96,447.54
2020,1,13,9,523.75,28.77,3.42,45.68,0.0,214.09,416.93
2020,1,13,10,313.0,27.87,3.68,47.54,0.0,174.38,306.79
2020,1,13,11,135.0,25.78,3.54,57.64,0.0,97.65,155.28
2020,1,13,12,10.05,22.37,3.36,71.89,0.0,13.57,3.94
2020,1,13,13,0.0,21.07,3.56,76.09,0.0,0.0,0.0
2020,1,13,14,0.0,20.18,3.17,80.06,0.0,0.0,0.0
2020,1,13,15,0.0,19.48,2.82,83.12,0.0,0.0,0.0
2020,1,13,16,0.0,18.92,2.62,85.16,0.0,0.0,0.0
2020,1,13,17,0.0,18.44,2.46,86.77,0.0,0.0,0.0
2020,1,13,18,0.0,18.19,2.18,86.77,0.0,0.0,0.0
2020,1,13,19,0.0,18.27,1.79,84.49,0.0,0.0,0.0
2020,1,13,20,0.0,18.23,1.63,83.08,0.0,0.0,0.0
2020,1,13,21,0.0,18.29,1.21,81.47,0.0,0.0,0.0
2020,1,13,22,0.0,18.52,0.73,79.35,0.0,0.0,0.0
2020,1,13,23,0.0,18.31,0.41,79.98,0.0,0.0,0.0
2020,1,14,0,0.0,17.95,0.54,81.63,0.0,0.0,0.0
2020,1,14,1,34.65,18.06,0.72,84.76,0.0,32.19,40.95
2020,1,14,2,217.75,20.33,0.62,75.21,0.0,126.14,297.03
2020,1,14,3,438.48,23.51,1.59,60.68,0.0,217.55,405.47
2020,1,14,4,625.08,25.41,2.25,53.48,0.0,238.54,547.97
2020,1,14,5,777.17,26.85,2.72,48.91,0.0,234.15,677.96
2020,1,14,6,823.17,27.91,3.16,46.0,0.0,293.15,604.49
2020,1,14,7,819.85,28.46,3.53,44.57,0.0,245.68,661.93
2020,1,14,8,735.45,28.5,3.79,44.3,0.0,263.83,589.77
2020,1,14,9,576.03,28.08,4.0,45.28,0.0,200.37,603.42
2020,1,14,10,373.27,27.07,4.15,48.26,0.0,172.15,458.49
2020,1,14,11,158.5,25.03,3.79,58.16,0.0,98.0,253.08
2020,1,14,12,11.52,21.57,3.22,75.0,0.0,13.73,14.63
2020,1,14,13,0.0,20.26,3.41,80.53,0.0,0.0,0.0
2020,1,14,14,0.0,19.39,3.08,84.4,0.0,0.0,0.0
2020,1,14,15,0.0,18.66,2.81,87.46,0.0,0.0,0.0
2020,1,14,16,0.0,18.04,2.6,89.59,0.0,0.0,0.0
2020,1,14,17,0.0,17.5,2.47,91.11,0.0,0.0,0.0
2020,1,14,18,0.0,17.09,2.32,91.79,0.0,0.0,0.0
2020,1,14,19,0.0,16.86,2.12,91.69,0.0,0.0,0.0
2020,1,14,20,0.0,16.79,1.89,91.14,0.0,0.0,0.0
2020,1,14,21,0.0,16.65,1.71,91.16,0.0,0.0,0.0
2020,1,14,22,0.0,16.41,1.61,92.06,0.0,0.0,0.0
2020,1,14,23,0.0,16.13,1.57,93.4,0.0,0.0,0.0
2020,1,15,0,0.0,15.88,1.57,94.62,0.0,0.0,0.0
2020,1,15,1,38.72,16.57,1.5,93.12,0.0,30.0,85.46
2020,1,15,2,243.75,19.63,1.87,79.44,0.0,91.14,463.28
2020,1,15,3,478.05,22.95,2.84,63.11,0.0,128.6,634.87
2020,1,15,4,670.25,24.85,3.23,55.94,0.0,150.01,765.56
2020,1,15,5,770.3,26.3,3.32,51.93,0.0,227.58,675.52
2020,1,15,6,805.85,27.37,3.44,49.49,0.0,352.35,481.94
2020,1,15,7,781.62,27.98,3.54,48.44,0.0,346.91,441.64
2020,1,15,8,709.9,28.11,3.63,48.63,0.0,309.72,490.23
2020,1,15,9,582.47,27.74,3.78,50.05,0.0,208.83,582.83
