timestamp,solar_kw,load_kw,tariff_inr_kwh,battery_soc_pct,battery_power_kw,grid_kw,simulink_reference_grid_kw,grid_kw_error
2025-12-25 05:30:00,0.0,56.358,2.6,29.644,-18.0,74.358,74.358,0.0
2025-12-25 06:30:00,4.45,59.087,5.6,29.644,0.0,54.637,54.637,0.0
2025-12-25 07:30:00,25.264,67.792,5.6,29.644,0.0,42.528,42.528000000000006,-7.105427357601002e-15
2025-12-25 08:30:00,45.306,83.597,5.6,29.644,0.0,38.291,38.291,0.0
2025-12-25 09:30:00,56.513,75.83,5.6,29.644,0.0,19.317,19.317,0.0
2025-12-25 10:30:00,63.864,66.662,5.6,29.644,0.0,2.798,2.798000000000009,-8.881784197001252e-15
2025-12-25 11:30:00,81.267,64.179,5.6,38.799,-17.088,0.0,7.105427357601002e-15,-7.105427357601002e-15
2025-12-25 12:30:00,71.629,59.992,5.6,45.033,-11.637,0.0,0.0,0.0
2025-12-25 13:30:00,63.655,60.712,5.6,45.033,0.0,0.0,0.0,0.0
2025-12-25 14:30:00,41.713,71.247,5.6,45.033,0.0,29.534,29.534,0.0
2025-12-25 15:30:00,25.178,59.108,5.6,45.033,0.0,33.93,33.92999999999999,7.105427357601002e-15
2025-12-25 16:30:00,9.324,58.976,5.6,45.033,0.0,49.652,49.652,0.0
2025-12-25 17:30:00,0.368,74.601,5.6,45.033,0.0,74.233,74.233,0.0
2025-12-25 18:30:00,0.0,78.636,9.2,20.0,43.454,35.182,35.181999999999995,7.105427357601002e-15
2025-12-25 19:30:00,0.0,91.032,9.2,20.0,0.0,91.032,91.032,0.0
2025-12-25 20:30:00,0.0,95.297,9.2,20.0,0.0,95.297,95.297,0.0
2025-12-25 21:30:00,0.0,79.323,9.2,20.0,0.0,79.323,79.323,0.0
2025-12-25 22:30:00,0.0,88.917,2.6,20.0,0.0,88.917,88.917,0.0
2025-12-25 23:30:00,0.0,55.578,2.6,20.0,0.0,55.578,55.578,0.0
2025-12-26 00:30:00,0.0,49.558,2.6,29.644,-18.0,67.558,67.55799999999999,1.4210854715202004e-14
2025-12-26 01:30:00,0.0,40.654,2.6,39.287,-18.0,58.654,58.654,0.0
2025-12-26 02:30:00,0.0,49.349,2.6,48.931,-18.0,67.349,67.34899999999999,1.4210854715202004e-14
2025-12-26 03:30:00,0.0,50.658,2.6,58.575,-18.0,68.658,68.658,0.0
2025-12-26 04:30:00,0.0,44.768,2.6,68.218,-18.0,62.768,62.768,0.0
2025-12-26 05:30:00,0.0,51.036,2.6,77.862,-18.0,69.036,69.036,0.0
2025-12-26 06:30:00,4.992,59.906,5.6,77.862,0.0,54.914,54.914,0.0
2025-12-26 07:30:00,24.139,76.289,5.6,77.862,0.0,52.15,52.150000000000006,-7.105427357601002e-15
2025-12-26 08:30:00,45.622,78.464,5.6,77.862,0.0,32.842,32.842,0.0
2025-12-26 09:30:00,59.453,77.684,5.6,77.862,0.0,18.231,18.230999999999995,7.105427357601002e-15
2025-12-26 10:30:00,72.186,68.067,5.6,77.862,0.0,0.0,0.0,0.0
2025-12-26 11:30:00,69.348,64.563,5.6,77.862,0.0,0.0,0.0,0.0
2025-12-26 12:30:00,67.256,63.075,5.6,77.862,0.0,0.0,0.0,0.0
2025-12-26 13:30:00,62.686,59.56,5.6,77.862,0.0,0.0,0.0,0.0
2025-12-26 14:30:00,47.973,68.443,5.6,77.862,0.0,20.47,20.47,0.0
2025-12-26 15:30:00,27.411,61.853,5.6,77.862,0.0,34.442,34.442,0.0
2025-12-26 16:30:00,11.049,67.615,5.6,77.862,0.0,56.566,56.565999999999995,7.105427357601002e-15
2025-12-26 17:30:00,0.476,65.18,5.6,77.862,0.0,64.704,64.70400000000001,-1.4210854715202004e-14
2025-12-26 18:30:00,0.0,81.605,9.2,44.449,58.0,23.605,23.605000000000004,-3.552713678800501e-15
2025-12-26 19:30:00,0.0,92.766,9.2,20.0,42.44,50.326,50.32600000000001,-7.105427357601002e-15
2025-12-26 20:30:00,0.0,92.884,9.2,20.0,0.0,92.884,92.884,0.0
2025-12-26 21:30:00,0.0,87.914,9.2,20.0,0.0,87.914,87.914,0.0
2025-12-26 22:30:00,0.0,67.196,2.6,20.0,0.0,67.196,67.196,0.0
2025-12-26 23:30:00,0.0,57.662,2.6,20.0,0.0,57.662,57.662,0.0
2025-12-27 00:30:00,0.0,30.935,2.6,29.644,-18.0,48.935,48.935,0.0
2025-12-27 01:30:00,0.0,37.23,2.6,39.287,-18.0,55.23,55.23,0.0
2025-12-27 02:30:00,0.0,34.381,2.6,48.931,-18.0,52.381,52.381,0.0
2025-12-27 03:30:00,0.0,37.597,2.6,58.575,-18.0,55.597,55.597,0.0
2025-12-27 04:30:00,0.0,44.421,2.6,68.218,-18.0,62.421,62.421,0.0
2025-12-27 05:30:00,0.0,50.312,2.6,77.862,-18.0,68.312,68.312,0.0
2025-12-27 06:30:00,4.874,48.311,5.6,77.862,0.0,43.437,43.437,0.0
2025-12-27 07:30:00,28.032,66.511,5.6,77.862,0.0,38.479,38.479,0.0
2025-12-27 08:30:00,49.754,73.393,5.6,77.862,0.0,23.639,23.639000000000003,-3.552713678800501e-15
2025-12-27 09:30:00,68.632,67.857,5.6,77.862,0.0,0.0,0.0,0.0
